serial	name	descrption	date	category	thumb	info
65	마이크론 Crucial DDR4 16G PC4-25600 CL22 	16GB / PC용 / DDR4 / 패키지: 1개 / 3200MHz (PC4-25600) / 램타이밍: CL22 / 1.20V / 히트싱크: 미포함 / 수입사 확인요망	2020-01-01	3	117	118
66	G.SKILL DDR4 16G PC4-25600 CL16 AEGIS 	16GB / PC용 / DDR4 / 패키지: 1개 / 3200MHz (PC4-25600) / 램타이밍: CL16-18-18-38 / 1.35V / 히트싱크: 방열판 / 방열판 색상: 블랙 / XMP	2019-02-32	3	119	120
67	TeamGroup T-Force DDR4 32G PC4-25600 CL16 DARK Z GREY 	32GB / PC용 / DDR4 /  패키지: 1개 / 3200MHz (PC4-25600) / 램타이밍: CL16-18-18-38 / 1.35V / 히트싱크: 방열판 / 방열판 색상: 실버/그레이	2020-05-01	3	121	122
68	마이크론 Crucial Ballistix DDR4 16G PC4-25600 CL16 RGB Red 	8GB / PC용 / DDR4 /  패키지: 1개 / 3200MHz (PC4-25600) / 램타이밍: CL16-18-18-38 / 1.35V / 히트싱크: 방열판 / 방열판 색상: 레드 / LED색상: RGB / LED 라이트 / XMP / LED 시스템: AURA SYNC, MYSTIC LIGHT, RGB FUSION, POLYCHROME	2020-04-01	3	123	124
69	PALIT 지포스 GTX 1660 SUPER GAMINGPRO OC D6 6GB 	GTX 1660 SUPER / 12nm / 1530MHz , 부스트 1830MHz / 1408개 / PCIe3.0x16 / GDDR6(DDR6) / 14000MHz / 6GB / 192-bit / 최대 130W / DVI / HDMI / DP / 최대 모니터 3개 /  정격파워 450W 이상 / 2개 팬 / 235mm / 백플레이트 / LED 라이트	2019-10-01	4	125	126
70	MSI 지포스 RTX 2070 SUPER 게이밍 X D6 8GB 트윈프로져7 	RTX 2070 SUPER / 12nm / 부스트 1800MHz / 2560개 / PCIe3.0x16 / GDDR6(DDR6) / 14000MHz / 8GB / 256-bit / 최대 215W / HDMI / DP / 최대 모니터 4개 / 정격파워 650W 이상 / 2개 팬 / 297mm / 백플레이트 / LED 라이트 / MYSTIC LIGHT	2019-08-01	4	127	128
71	ZOTAC GAMING 지포스 GTX 1660 SUPER AMP D6 6GB 백플레이트 	GTX 1660 SUPER / 12nm / 부스트 1845MHz / 1408개 / PCIe3.0x16 / GDDR6(DDR6) / 192-bit / 6GB / HDMI / 최대 125W / DP / 최대 모니터 4개 / 정격파워 450W 이상 / 전원부: 4+2페이즈 / 2개 팬 / 217mm / 백플레이트	2019-11-01	4	129	130
72	이엠텍 지포스 RTX 2070 SUPER GAMER OC D6 8GB	RTX 2070 SUPER / 12nm / 1605MHz , 부스트 1800MHz / 2560개 / PCIe3.0x16 / GDDR6(DDR6) / 14000MHz / 8GB / 256-bit / 최대 250W / HDMI / DP / 최대 모니터 4개 /  정격파워 650W 이상 / 전원부: 7+2페이즈 / 3개 팬 / 288mm / 백플레이트 / LED 라이트 / RGB LIGHTING	2020-04-01	4	131	132
73	이엠텍 지포스 GTX 1660 SUPER STORM X Dual OC D6 6GB 	GTX 1660 SUPER / 12nm / 1530MHz , 부스트 1830MHz / 1408개 / PCIe3.0x16 / GDDR6(DDR6) / 14000MHz / 6GB / 192-bit / 최대 125W / DVI / HDMI / DP / 최대 모니터 3개 / 정격파워 450W 이상 / 전원부: 3+2페이즈 / 2개 팬 / 235mm / 백플레이트 / LED 라이트	2019-10-01	4	133	134
74	갤럭시 GALAX 지포스 RTX 2070 SUPER EX WHITE OC D6 8GB 	RTX 2070 SUPER / 12nm / 1605MHz , 부스트 1815MHz / 2560개 / PCIe3.0x16 / GDDR6(DDR6) / 256-bit / 8GB / HDMI / 최대 215W / DP / 최대 모니터 4개 /  정격파워 650W 이상 / 전원부: 7+2페이즈 / 2개 팬 / 285mm / 백플레이트 / LED 라이트	2019-07-01	4	135	136
75	이엠텍 XENON 지포스 RTX 2070 SUPER TURBO JET V2 OC D6 8GB	RTX 2070 SUPER / 12nm / 1605MHz , 부스트 1815MHz / 2560개 / PCIe3.0x16 / GDDR6(DDR6) / 14000MHz / 8GB / 256-bit / 최대 215W / HDMI / DP / 최대 모니터 4개 /  정격파워 650W 이상 / 전원부: 10+2페이즈 / 2개 팬 / 292mm / 백플레이트 / LED 라이트	2019-11-01	4	137	138
76	MSI 지포스 GTX 1660 SUPER 게이밍 X D6 6GB 트윈프로져7 	GTX 1660 SUPER / 12nm / 부스트 1830MHz / 1408개 / PCIe3.0x16 / GDDR6(DDR6) / 14000MHz / 6GB / 192-bit / 최대 125W / HDMI / DP / 최대 모니터 4개 /  정격파워 450W 이상 / 2개 팬 / 247mm / 백플레이트 / LED 라이트 / MYSTIC LIGHT	2019-10-01	4	139	140
77	갤럭시 GALAX 지포스 RTX 2060 SUPER EX WHITE OC D6 8GB 	RTX 2060 SUPER / 12nm / 1470MHz , 부스트 1695MHz / 2176개 / PCIe3.0x16 / GDDR6(DDR6) / 14000MHz / 8GB / 256-bit / 최대 175W / HDMI / DP /  정격파워 550W 이상 / 전원부: 5+2페이즈 / 2개 팬 / 285mm / 백플레이트 / LED 라이트	2019-07-01	4	141	142
78	ASUS TUF Gaming 지포스 GTX 1660 SUPER O6G D6 6GB 	GTX 1660 SUPER / 12nm / 1530MHz , 부스트 1845MHz / 1408개 / PCIe3.0x16 / GDDR6(DDR6) / 14002MHz / 6GB / 192-bit / 최대 175W / DVI / HDMI / DP / 최대 모니터 3개 / 정격파워 450W 이상 / 2개 팬 / 206mm / 백플레이트	2019-01-01	4	143	144
79	MSI 지포스 RTX 2070 SUPER 게이밍 X D6 8GB 트윈프로져7 	RTX 2070 SUPER / 12nm / 부스트 1800MHz / 2560개 / PCIe3.0x16 / GDDR6(DDR6) / 14000MHz / 8GB / 256-bit / 최대 215W / HDMI / DP / 최대 모니터 4개 /  정격파워 650W 이상 / 2개 팬 / 297mm / 백플레이트 / LED 라이트 / MYSTIC LIGHT	2019-08-01	4	145	146
80	이엠텍 HV 지포스 RTX 2060 SUPER STORM X Dual D6 8GB	RTX 2060 SUPER / 12nm / 1470 MHz , 부스트 1650MHz / 2176개 / PCIe3.0x16 / GDDR6(DDR6) / 14000MHz / 8GB / 256-bit / 최대 175W / DVI / HDMI / DP / 최대 모니터 3개 /  정격파워 550W 이상 / 전원부: 5+2페이즈 / 2개 팬 / 235mm / 백플레이트 / LED 라이트	2019-07-01	4	147	148
81	이엠텍 지포스 RTX 2060 SUPER MIRACLE V2 D6 8GB 	RTX 2060 SUPER / 12nm / 1470MHz , 부스트 1650MHz / 2176개 / PCIe3.0x16 / GDDR6(DDR6) / 14000MHz / 8GB / 256-bit / 최대 175W / HDMI / DP / 최대 모니터 4개 /  정격파워 550W 이상 / 전원부: 6+2페이즈 / 2개 팬 / 245mm / 백플레이트 / LED 라이트	2019-11-01	4	149	150
82	갤럭시 GALAX 지포스 RTX 2070 SUPER EX OC D6 8GB PINK Edition 	RTX 2070 SUPER / 12nm / 1605MHz , 부스트 1815MHz / 2560개 / PCIe3.0x16 / GDDR6(DDR6) / 14000MHz / 8GB / 256-bit / 최대 215W / HDMI / DP / 최대 모니터 4개 / 정격파워 650W 이상 / 전원부: 7+2페이즈 / 2개 팬 / 285mm / 백플레이트 / LED 라이트	2020-04-01	4	151	152
83	이엠텍 지포스 RTX 2060 STORM X Dual OC D6 6GB	RTX 2060 / 12nm / 1365MHz , 부스트 1830MHz / 1920개 / PCIe3.0x16 / GDDR6(DDR6) / 14000MHz / 6GB / 192-bit / 최대 190W / DVI / HDMI / DP / 최대 모니터 3개 /  정격파워 500W 이상 / 전원부: 6+2페이즈 / 2개 팬 / 235mm / 백플레이트 / LED 라이트 / 2019년 2월 제품 구성 변경 (백플레이트 추가)	2019-01-01	4	153	154
84	갤럭시 GALAX 지포스 RTX 2070 SUPER EX BLACK OC D6 8GB 	RTX 2070 SUPER / 12nm / 1605MHz , 부스트 1815MHz / 2560개 / PCIe3.0x16 / GDDR6(DDR6) / 256-bit / 8GB / HDMI / 최대 215W / DP / 최대 모니터 4개 /  정격파워 650W 이상 / 전원부: 7+2페이즈 / 2개 팬 / 285mm / 백플레이트 / LED 라이트	2019-07-01	4	155	156
85	APPHIRE 라데온 RX 5700 XT NITRO+ OC D6 8GB Tri-X 	RX 5700 XT / 7nm / 1770 MHz , 부스트 2010MHz / 2560개 / PCIe4.0x16 / GDDR6(DDR6) / 14000MHz / 8GB / 256-bit / 최대 265W / HDMI / DP / 최대 모니터 4개 /  정격파워 650W 이상 / 전원부: 8+1+2페이즈 / 3개 팬 / 306mm / 백플레이트 / LED 라이트 / NITRO GLOW	2019-09-01	4	157	158
86	ASRock Phantom Gaming D 라데온 RX 570 D5 4GB 디앤디컴 	RX 570 / 14nm / 1244 MHz , 부스트 1293MHz / 2048개 / PCIe3.0x16 / GDDR5(DDR5) / 7000MHz / 4GB / 256-bit / 최대 130W / DVI / HDMI / DP / 최대 모니터 5개 / 정격파워 500W 이상 / 2개 팬 / 236.2mm	2020-01-01	4	159	160
87	ZOTAC GAMING 지포스 RTX 2070 SUPER AMP D6 8GB 	GTX 1660 SUPER / 12nm / 부스트 1830MHz / 1408개 / PCIe3.0x16 / GDDR6(DDR6) / 14000MHz / 6GB / 192-bit / 최대 250W / HDMI / DP / 최대 모니터 4개 / 정격파워 450W 이상 / 전원부: 3+2페이즈 / 2개 팬 / 225mm / 백플레이트	2019-10-01	4	161	162
88	COLORFUL 지포스 GTX 1650 토마호크 D5 4GB 	GTX 1650 / 12nm / 1485MHz , 부스트 1785MHz / 896개 / PCIe3.0x16 / GDDR5(DDR5) / 8000MHz / 4GB / 128-bit / 최대 75W / DVI / HDMI / DP / 최대 모니터 3개 /  전원부: 3+1페이즈 / 2개 팬 / 232mm	2019-05-01	4	163	164
89	GAINWARD 지포스 GTX 1650 고스트 D6 4GB 	GTX 1650 / 12nm / 부스트 1590MHz / 896개 / PCIe3.0x16 / GDDR6(DDR6) / 12000MHz / 4GB / 128-bit / 최대 75W / HDMI / DP / 최대 모니터 3개 / 정격파워 300W 이상 / 2개 팬 / 170mm	2020-04-01	4	165	166
90	갤럭시 GALAX 지포스 RTX 2070 SUPER Hall Of Fame D6 8GB 10th Anniversary BLACK Edition 	RTX 2070 SUPER / 12nm / 1605MHz , 부스트 1905MHz / 2560개 / PCIe3.0x16 / GDDR6(DDR6) / 14000MHz / 8GB / 256-bit / 최대 255W / HDMI / DP / USB Type-C / 최대 모니터 4개 /  정격파워 650W 이상 / 전원부: 10페이즈 / 3개 팬 / 320mm / 백플레이트 / LED 라이트	2019-11-01	4	167	168
91	Western Digital WD Blue 3D SSD (500GB)	내장형SSD / 6.4cm(2.5인치) / SATA3 (6Gb/s) / 500GB / 3D낸드 / TLC(기타) / 최대 560MB/s / 최대 530MB/s / 1,750,000시간 / TRIM 지원 / GC 기능 / S.M.A.R.T 지원 / ECC 지원 / DEVSLP 지원 / SLC 캐싱 / 전용 소프트웨어 / 마이그레이션 / 관리기능 / 7mm / 37.4g / 5년 / 2018년 3월부로 A/S기간이 변	2017-10-03	5	169	170
92	ADATA Ultimate SU800 (256GB) 	내장형SSD / 6.4cm(2.5인치) / SATA3 (6Gb/s) / 256GB / 3D낸드 / TLC(기타) / 최대 560MB/s / 최대 520MB/s / 2,000,000시간 / TRIM 지원 / GC 기능 / S.M.A.R.T 지원 / ECC 지원 / DEVSLP 지원 / SLC 캐싱 / 전용 소프트웨어 / 마이그레이션 / 관리기능 / 7mm / 3년 / 유통사 확인요망	2016-08-06	5	171	172
93	Seagate 바라쿠다 Q1 SSD (960GB) 	내장형SSD / 6.4cm(2.5인치) / SATA3 (6Gb/s) / 960GB / 3D낸드 / QLC / 최대 550MB/s / 최대 500MB/s / 1,800,000시간 / TRIM 지원 / S.M.A.R.T 지원 / ECC 지원 / SLC 캐싱 / 전용 소프트웨어 / 관리기능 / 7mm / 40g / 3년 / 씨게이트 커스텀 펌웨어 컨트롤러	2020-05-12	5	173	174
94	Seagate 파이어쿠다 520 M.2 NVMe (1TB) 	내장형SSD / M.2 (2280) / PCIe4.0x4 (64GT/s) / 1TB / 3D낸드 / TLC(기타) / DDR4 1GB / 최대 5,000MB/s / 최대 4,400MB/s / 1,800,000시간 / TRIM 지원 / GC 기능 / S.M.A.R.T 지원 / ECC 지원 / DEVSLP 지원 / SLC 캐싱 / 전용 소프트웨어 / 마이그레이션 / 관리기능 / 3.58mm / 8.5g / 5년 / SLC 캐시 사	2019-11-24	5	175	176
95	마이크론 Crucial MX500 대원CTS (500GB)	내장형SSD / 6.4cm(2.5인치) / SATA3 (6Gb/s) / 500GB / 3D낸드 / TLC(기타) / 최대 560MB/s / 최대 510MB/s / 1,800,000시간 / TRIM 지원 / GC 기능 / S.M.A.R.T 지원 / ECC 지원 / DEVSLP 지원 / AES 암호화 / 전용 소프트웨어 / 마이그레이션 / 관리기능 / 7mm / 5년 / 마이크론 커스텀 펌웨어 컨트롤러	2018-01-12	5	177	178
96	삼성전자 860 EVO (500GB)	내장형SSD / 6.4cm(2.5인치) / SATA3 (6Gb/s) / 500GB / 3D낸드 / TLC(토글) / DDR4 512MB / 최대 550MB/s / 최대 520MB/s / 1,500,000시간 / TRIM 지원 / GC 기능 / S.M.A.R.T 지원 / ECC 지원 / DEVSLP 지원 / AES 암호화 / 전용 소프트웨어 / 마이그레이션 / 관리기능 / 6.8mm / 최대 50g / 5년 / TurboWrite 버퍼 사이즈: 최대 22GB / 구매전 병행수입 전환판매 여부 반드시 확인요망	2018-01-04	5	179	180
97	삼성전자 970 EVO M.2 NVMe (500GB)	내장형SSD / M.2 (2280) / PCIe3.0x4 (32GT/s) / 500GB / 3D낸드 / TLC(기타) / DDR4 512MB / 최대 3,400MB/s / 최대 2,300MB/s / 1,500,000시간 / TRIM 지원 / GC 기능 / S.M.A.R.T 지원 / DEVSLP 지원 / AES 암호화 / 전용 소프트웨어 / 마이그레이션 / 관리기능 / 2.38mm / 최대 8g / 5년 / 구매전 병행수입 전환판매 여부 반드시 확인요망	2018-04-18	5	181	182
98	삼성전자 PM981a M.2 NVMe 병행수입 (512GB)	내장형SSD / M.2 (2280) / PCIe3.0x4 (32GT/s) / 512GB / 3D낸드 / TLC(기타) / 삼성 피닉스 / 최대 3,500MB/s / 최대 2,900MB/s / S.M.A.R.T 지원 / SLC 캐싱 / 8.5g / 벌크 여부 확인요망	2019-11-20	5	183	184
99	Toshiba TR200 (240GB)	내장형SSD / 6.4cm(2.5인치) / SATA3 (6Gb/s) / 240GB / 3D낸드 / TLC(기타) / 최대 555MB/s / 최대 540MB/s / 1,500,000시간 / TRIM 지원 / GC 기능 / S.M.A.R.T 지원 / ECC 지원 / DEVSLP 지원 / SLC 캐싱 / 전용 소프트웨어 / 관리기능 / 7mm / 최대 46g / 3년	2018-10-17	5	185	186
100	타무즈 GKM330 M.2 SATA (1TB) 	내장형SSD / M.2 (2280) / SATA3 (6Gb/s) / 1TB / 3D낸드 / TLC(기타) / 최대 550MB/s / 최대 500MB/s / 1,500,000시간 / TRIM 지원 / GC 기능 / S.M.A.R.T 지원 / ECC 지원 / SLC 캐싱 / 전용 소프트웨어 / 관리기능 / 2.25mm / 최대 11g / 3년	2019-10-11	5	187	188
101	Western Digital WD BLUE SN550 M.2 NVMe (500GB)	내장형SSD / M.2 (2280) / PCIe3.0x4 (32GT/s) / 500GB / 3D낸드 / TLC(기타) / 기타 컨트롤러 / 최대 2,400MB/s / 최대 1,750MB/s / 1,750,000시간 / TRIM 지원 / GC 기능 / S.M.A.R.T 지원 / ECC 지원 / DEVSLP 지원 / SLC 캐싱 / 전용 소프트웨어 / 마이그레이션 / 관리기능 / 2.38mm / 6.5g / 5년	2019-12-05	5	189	190
102	ADATA Ultimate SU655 (240GB)	내장형SSD / 6.4cm(2.5인치) / SATA3 (6Gb/s) / 240GB / 3D낸드 / TLC(토글) / 최대 520MB/s / 최대 450MB/s / 2,000,000시간 / ECC 지원 / SLC 캐싱 / 전용 소프트웨어 / 마이그레이션 / 관리기능 / 7mm / 47.5g / 3년 / 2.5mm 스페이서 포함 / 유통사 확인요망	2018-08-23	5	191	192
103	BIOSTAR S100 Series (120GB)	내장형SSD / 6.4cm(2.5인치) / SATA3 (6Gb/s) / 120GB / 3D낸드 / TLC(기타) / 마벨 1120 / 최대 530MB/s / 최대 380MB/s / 1,500,000시간 / TRIM 지원 / S.M.A.R.T 지원 / ECC 지원 / DEVSLP 지원 / 7mm / 36g / 3년 / 유통사 확인요망	2017-01-24	5	193	194
104	ADATA XPG SPECTRIX S40G M.2 NVMe (256GB)	내장형SSD / M.2 (2280) / PCIe3.0x4 (32GT/s) / 256GB / NVMe 1.3 / TLC(기타) / 3D낸드 / 최대 3,500MB/s / 최대 1,200MB/s / 2,000,000시간 / ECC 지원 / SLC 캐싱 / AES 암호화 / RGB/LED / RGB컨트롤 / 8mm / 13.4g / 5년 / 유통사 확인요망	2019-08-14	5	195	196
105	Western Digital WD GREEN SSD (240GB)	내장형SSD / 6.4cm(2.5인치) / SATA3 (6Gb/s) / 240GB / 최대 545MB/s / MLC(동기식) / 1,000,000시간 / TRIM 지원 / S.M.A.R.T 지원 / 전용 소프트웨어 / 마이그레이션 / 관리기능 / 7mm / 최대 32.5g / 3년	2016-10-10	5	197	198
106	삼성전자 PM981 M.2 NVMe 벌크 (256GB)	내장형SSD / M.2 (2280) / PCIe3.0x4 (32GT/s) / 256GB / NVMe / TLC(기타) / 3D낸드 / 삼성 / 최대 3,000MB/s / 최대 1,800MB/s / SLC 캐싱 / 병행, 중고 여부 확인요망/ 컨트롤러 확인 요망	2018-03-12	5	199	200
107	삼성전자 860 QVO (1TB)	내장형SSD / 6.4cm(2.5인치) / SATA3 (6Gb/s) / 1TB / 3D낸드 / QLC / 삼성 MJX / DDR4 1GB / 최대 550MB/s / 최대 520MB/s / 1,500,000시간 / TRIM 지원 / GC 기능 / S.M.A.R.T 지원 / ECC 지원 / DEVSLP 지원 / SLC 캐싱 / AES 암호화 / 전용 소프트웨어 / 마이그레이션 / 관리기능 / 6.8mm / 51g / 3년 / TurboWrite 버퍼 사이즈: 최대 42GB	2018-11-12	5	201	202
108	PNY XLR8 CS2311 (500GB)	내장형SSD / 6.4cm(2.5인치) / SATA3 (6Gb/s) / 500GB / 3D낸드 / TLC(기타) / 파이슨 PS3112-S12 / 최대 560MB/s / 최대 530MB/s / 2,000,000시간 / TRIM 지원 / S.M.A.R.T 지원 / ECC 지원 / AES 암호화 / 6.35mm / 45g / 5년	2020-05-12	5	203	204
109	마이크론 Crucial MX500 M.2 SATA 대원CTS (250GB)	내장형SSD / M.2 (2280) / SATA3 (6Gb/s) / 250GB / 3D낸드 / TLC(기타) / 실리콘모션 SM2258 / 최대 560MB/s / 최대 510MB/s / 1,800,000시간 / TRIM 지원 / GC 기능 / S.M.A.R.T 지원 / ECC 지원 / DEVSLP 지원 / AES 암호화 / 전용 소프트웨어 / 마이그레이션 / 관리기능 / 2.25mm / 5년 / 마이크론 커스텀 펌웨어 컨트롤러	2018-04-25	5	205	206
110	Seagate Maxtor Z1 SSD (240GB)	내장형SSD / 6.4cm(2.5인치) / SATA3 (6Gb/s) / 240GB / 3D낸드 / TLC(기타) / 최대 540MB/s / 최대 425MB/s / 1,200,000시간 / TRIM 지원 / GC 기능 / S.M.A.R.T 지원 / ECC 지원 / DEVSLP 지원 / SLC 캐싱 / 7mm / 36g / 3년 / SLC 캐시 사이즈: 8GB	2019-07-22	5	207	208
111	잘만 N5 MF 	PC케이스(ATX) / 미들타워 / 파워미포함 / 표준-ATX / Micro-ATX / Mini-ITX / 쿨링팬: 총4개 / LED팬: 4개 / 측면: 아크릴 / 후면: 120mm LED x1 / 전면: 120mm LED x3 / 너비(W): 200mm / 깊이(D): 437mm / 높이(H): 450mm / 파워 장착: 160mm / 파워 위치: 하단후면 / GPU 장착: 365mm / CPU 장착: 158mm / 팬 컨트롤 /	2019-12-25	6	209	210
112	대양케이스 ME NO.6 RGB 풀 아크릴 	PC케이스(ATX) / 미들타워 / 파워미포함 / Micro-ATX / 표준-ATX / 수직 PCI슬롯: 기본형 / 쿨링팬: 총6개 / LED팬: 6개 / 측면: 아크릴 / 후면: 120mm LED x1 / 전면: 120mm LED x3 / 상단: 120mm LED x2 / 너비(W): 210mm / 깊이(D): 375mm / 높이(H): 450mm / 파워 위치: 하단후면 / GPU 장착: 320mm / CPU 장착: 164mm	2020-04-18	6	211	212
113	Fractal Design Define 7 Clear 강화유리 (Black White) 	PC케이스(ATX) / 미들타워 / 파워미포함 / Extended-ATX / 표준-ATX / Micro-ATX / Mini-ITX / 쿨링팬: 총3개 / 측면: 강화유리 / 후면: 140mm x1 / 전면: 140mm x2 / 너비(W): 240mm / 깊이(D): 547mm / 높이(H): 475mm / 파워 장착: 250mm / 파워 위치: 하단후면 / GPU 장착: 315mm / CPU 장착: 185mm	2020-03-05	6	213	214
114	ABKO SUITMASTER 290G 위저드 강화유리	PC케이스(ATX) / 미들타워 / 파워미포함 / Mini-ITX / 표준-ATX / Micro-ATX / 쿨링팬: 총6개 / LED팬: 6개 / 측면: 강화유리 / 후면: 120mm LED x1 / 전면: 120mm LED x3 / 상단: 120mm LED x2 / 너비(W): 210mm / 깊이(D): 400mm / 높이(H): 480mm / 파워 장착: 180mm / 파워 위치: 하단후면 / GPU 장착: 330mm / CPU 장착: 160mm / LED 색상: RGB	2020-06-30	6	215	216
115	아이구주 HATCH 6 플렉스 메쉬 강화유리 	PC케이스(ATX) / 미들타워 / 파워미포함 / 표준-ITX / Micro-ATX / 쿨링팬: 총6개 / LED팬: 4개 / 측면: 강화유리 / 후면: 120mm LED x1 / 전면: 120mm LED x3 / 상단: 120mm x2 / 너비(W): 190mm / 깊이(D): 380mm / 높이(H): 450mm / GPU 장착: 325mm / CPU 장착: 160mm / LED 색상: RGB	2020-04-25	6	217	218
116	ABKO NCORE 식스팬 풀 아크릴 LUNAR 	PC케이스(ATX) / 미들타워 / 파워미포함 / Micro-ATX / 표준-ATX / Mini-ITX / 쿨링팬: 총6개 / LED팬: 4개 / 측면: 아크릴 / 후면: 120mm LED x1 / 전면: 120mm LED x3 / 상단: 120mm x2 / 너비(W): 200mm / 깊이(D): 340mm / 높이(H): 450mm / 파워 장착: 170mm / 파워 위치: 하단후면 / GPU 장착: 285mm / CPU 장착: 160mm / LED 색상: RGB	2019-11-20	6	219	220
117	ABKO NCORE 베놈 식스LED 강화유리	PC케이스(ATX) / 미들타워 / 파워미포함 / 표준-ATX / Micro-ATX / Mini-ITX / 쿨링팬: 총6개 / LED팬: 6개 / 측면: 강화유리 / 후면: 120mm LED x1 / 전면: 120mm LED x3 / 상단: 120mm LED x2 / 너비(W): 200mm / 깊이(D): 370mm / 높이(H): 445mm / 파워 장착: 180mm / 파워 위치: 하단후면 / GPU 장착: 305mm / CPU 장착: 163mm / LED 색상: RGB	2020-06-17	6	221	222
118	마이크로닉스 Master M60 메쉬	PC케이스(ATX) / 미들타워 / 파워미포함 / Mini-ITX / 표준-ATX / Micro-ATX /  쿨링팬: 총6개 / LED팬: 4개 / 측면: 아크릴 / 후면: 120mm LED x1 / 전면: 120mm LED x3 / 상단: 120mm x2 / 너비(W): 221mm / 깊이(D): 390mm / 높이(H): 461mm / 파워 장착: 190mm / 파워 위치: 하단후면 / GPU 장착: 325mm / CPU 장착: 175mm / LED 색상: RGB / 2020년 4월 내부 새시 변경	2020-01-12	6	223	224
119	ABKO NCORE 아수라 풀 아크릴 	PC케이스(ATX) / 미들타워 / 파워미포함 / 표준-ATX / Micro-ATX / Mini-ITX / 쿨링팬: 총3개 / LED팬: 3개 / 측면: 아크릴 / 후면: 120mm LED / 전면: 120mm LED x2 / 너비(W): 194mm / 깊이(D): 436mm / 높이(H): 491mm / 파워 위치: 하단후면 / GPU 장착: 최대 370mm / CPU 장착: 최대 159mm / 팬 컨트롤	2016-11-25	6	225	226
120	대양케이스 ME NO.4 RGB 풀 아크릴 (블랙)	PC케이스(ATX) / 미들타워 / 파워미포함 / 표준-ATX / Micro-ATX / 수직 PCI슬롯: 기본형 / 쿨링팬: 총4개 / LED팬: 4개 / 측면: 아크릴 / 후면: 120mm LED x1 / 전면: 120mm LED x3 / 너비(W): 210mm / 깊이(D): 375mm / 높이(H): 450mm / 파워 위치: 하단후면 / GPU 장착: 320mm / CPU 장착: 164mm	2020-04-11	6	227	228
121	대양케이스 ME NO.8 RGB 강화유리	PC케이스(ATX) / 미들타워 / 파워미포함 / Extended-ATX / 표준-ATX / Micro-ATX / Mini-ITX / 수직 PCI슬롯: 기본형 / 쿨링팬: 총4개 / LED팬: 4개 / 측면: 강화유리 / 후면: 140mm LED x1 / 전면: 140mm LED x3 / 너비(W): 230mm / 깊이(D): 440mm / 높이(H): 485mm / 파워 위치: 하단후면 / GPU 장착: 387mm / CPU 장착: 188mm / RGB 컨트롤 / LED 색상: RGB / 2020년 4월 내부 새시 변경	2019-10-23	6	229	230
122	DAVEN FT903 MESH 강화유리 	PC케이스(ATX) / 미들타워 / 파워미포함 / 표준-ATX / Micro-ATX / Mini-ITX / 쿨링팬: 총4개 / LED팬: 4개 / 측면: 강화유리 / 후면: 120mm LED x1 / 전면: 120mm LED x3 / 너비(W): 208mm / 깊이(D): 408mm / 높이(H): 452mm / 파워 장착: 210mm / 파워 위치: 하단후면 / GPU 장착: 360mm / CPU 장착: 160mm / LED 색상: 화이트	2020-02-14	6	231	232
123	COX A3 엘리시움 풀 아크릴 HALO 	PC케이스(ATX) / 미들타워 / 파워미포함 / 표준-ATX / Micro-ATX / Mini-ITX / 쿨링팬: 총4개 / LED팬: 3개 / 측면: 아크릴 / 후면: 80mm x1 / 전면: 120mm LED x3 / 너비(W): 186mm / 깊이(D): 392mm / 높이(H): 412mm / 파워 장착: 280mm / 파워 위치: 상단 / GPU 장착: 290mm / CPU 장착: 145mm / LED 색상: 화이트	2018-12-26	6	233	234
124	3RSYS T800 풍통 (WHITE)	PC케이스(ATX) / 빅타워 / 파워미포함 / Extended-ATX / 표준-ATX / Micro-ATX / Mini-ITX / 쿨링팬$총7개 / LED팬$7...	2020-03-12	6	235	236
125	잘만 S3 풀 아크릴 	PC케이스(ATX) / 미들타워 / 파워미포함 / 표준-ATX / Micro-ATX / Mini-ITX / 쿨링팬: 총3개 / 측면: 아크릴 / 후면: 120mm x1 / 전면: 120mm x2 / 너비(W): 189mm / 깊이(D): 412mm / 높이(H): 451mm / 파워 장착: 180mm / 파워 위치: 하단후면 / GPU 장착: 330mm / CPU 장착: 156mm	2018-11-18	6	237	238
126	ABKO SUITMASTER 361G 칼리스토 강화유리 DOUBLING 	PC케이스(ATX) / 미들타워 / 파워미포함 / Extended-ATX / 표준-ATX / Micro-ATX / Mini-ITX / 쿨링팬: 총4개 / LED팬: 4개 / 측면: 강화유리 / 후면: 120mm 화이트 LED / 전면: 120mm 화이트 LED x3 / 너비(W): 216mm / 깊이(D): 469mm / 높이(H): 494mm / 파워 장착: 최대 215mm / 파워 위치: 하단후면 / GPU 장착: 최대 380mm / CPU 장착: 최대 163mm / 팬 컨트롤	2017-11-11	6	239	240
127	darkFlash DLM22 RGB 강화유리 	PC케이스(M-ATX) / 미니타워 / 파워미포함 / Micro-ATX / Mini-ITX / 쿨링팬: 총1개 / LED팬: 1개 / 측면: 강화유리 / 후면: 120mm LED x1 / 너비(W): 208mm / 깊이(D): 362mm / 높이(H): 425mm / 파워 장착: 210mm / 파워 위치: 하단후면 / GPU 장착: 350mm / CPU 장착: 160mm / RGB 컨트롤 / LED 색상: RGB	2019-07-07	6	241	242
