예약번호	예식장번호	인원수	형태번호	식사종류	앨범	청첩장	드레스	날짜	결제여부
71975	14	170	1	3	0	1	1	2021-04-08	1
72082	8	120	9	3	0	0	1	2021-01-18	0
72107	16	200	5	2	0	2	1	2021-01-02	0
72146	26	230	2	3	0	2	0	2020-11-24	0
72156	35	190	7	3	0	3	0	2020-11-06	1
72288	37	130	2	2	1	2	1	2020-12-30	0
72358	6	100	5	1	1	2	0	2020-12-04	0
72435	28	130	3	1	1	0	0	2020-10-20	1
72464	18	220	8	2	0	2	0	2020-11-25	0
72524	7	150	10	1	1	1	0	2020-12-12	0
72606	21	150	5	2	1	3	0	2021-01-12	1
72680	13	100	9	3	0	2	0	2020-11-15	1
72976	6	120	5	1	1	0	0	2021-05-04	1
73184	26	110	2	3	0	1	0	2021-02-10	0
73211	5	130	9	1	0	2	0	2020-12-08	1
73276	32	320	10	2	0	1	0	2020-10-22	1
73335	37	140	2	2	1	0	0	2021-04-30	0
73357	35	110	7	3	1	2	0	2021-03-20	0
73435	17	190	3	2	0	3	0	2020-11-18	0
73587	24	150	9	3	0	3	0	2020-10-23	1
73694	20	350	8	3	1	3	1	2020-11-06	1
74189	26	190	2	3	1	1	0	2021-02-03	0
74289	8	120	9	3	1	2	1	2021-03-15	1
74314	31	110	9	1	0	3	1	2021-01-18	1
74459	18	260	8	2	1	0	1	2021-02-25	0
74490	36	370	1	1	1	1	1	2021-03-15	1
74621	33	290	5	2	1	2	1	2020-10-15	0
74821	41	100	7	1	1	0	0	2021-03-01	0
74847	10	100	9	1	1	0	0	2021-01-24	1
74976	16	200	5	2	0	1	1	2021-04-16	1
75358	32	300	10	2	0	3	1	2021-02-04	0
75916	33	250	5	2	0	2	1	2020-09-09	1
76089	37	180	2	2	1	2	1	2020-10-13	0
76129	14	110	1	3	0	2	1	2021-04-03	0
76325	21	140	5	2	0	2	1	2021-03-29	1
76566	24	200	9	3	0	1	1	2021-01-24	1
76627	38	290	7	3	0	0	0	2021-04-15	1
76650	13	100	9	3	1	0	0	2021-02-05	1
76738	34	100	3	2	1	3	1	2021-01-03	0
76789	39	100	1	1	1	0	0	2021-02-01	1
76907	12	320	8	3	0	1	0	2021-04-29	0
76929	19	160	5	2	1	1	1	2020-10-09	1
77016	3	100	2	2	1	3	1	2020-12-17	1
77150	39	100	1	1	1	3	1	2020-12-27	0
77255	14	190	1	3	0	2	1	2021-04-17	1
77340	38	420	7	3	0	0	1	2021-05-03	0
77347	32	280	10	2	1	2	1	2020-12-19	1
77482	29	120	9	2	1	2	0	2020-10-25	0
77811	41	100	7	1	1	0	1	2021-04-13	0
77855	24	140	9	3	1	0	1	2021-02-01	0
77908	33	180	5	2	1	1	0	2020-12-10	0
78401	10	100	9	1	1	1	0	2020-12-02	1
78613	29	110	9	2	0	1	1	2021-04-13	0
78629	4	110	2	2	0	0	1	2021-04-30	1
78777	40	210	4	3	1	1	1	2020-12-24	1
79120	10	100	9	1	1	1	1	2020-11-01	1
79154	32	130	10	2	0	2	0	2020-12-07	0
79205	26	260	2	3	1	1	0	2021-01-19	0
79365	10	100	9	1	1	2	1	2020-10-16	1
79391	23	150	6	1	0	3	1	2020-12-10	1
79395	35	350	7	3	1	3	1	2020-11-28	0
79406	7	170	10	1	0	2	0	2021-01-25	0
79446	4	140	2	2	1	3	0	2021-02-05	0
79499	34	180	3	2	0	3	0	2021-04-16	1
79585	15	290	9	3	0	2	0	2020-10-09	1
79713	9	120	5	1	0	1	1	2021-01-15	0
79798	25	200	5	1	0	2	1	2021-03-03	1
79816	21	140	5	2	1	1	1	2020-10-17	0
79827	8	130	9	3	1	3	1	2021-01-11	0
79977	26	230	2	3	1	2	0	2020-12-20	0
80030	3	100	2	2	0	3	0	2021-02-13	0
80046	39	100	1	1	1	1	1	2020-11-22	0
80367	9	140	5	1	1	2	0	2020-12-17	1
80512	33	150	5	2	0	0	0	2020-11-28	0
80835	22	290	5	3	1	0	0	2020-11-27	1
81018	18	110	8	2	1	2	1	2021-03-09	1
81046	25	200	5	1	1	2	1	2020-11-21	0
81308	33	120	5	2	1	0	1	2020-11-29	0
81341	4	280	2	2	1	0	0	2021-04-24	1
81349	20	420	8	3	1	1	1	2020-11-28	0
81578	32	250	10	2	0	3	1	2020-12-11	1
81592	38	220	7	3	1	3	0	2020-10-05	0
81618	41	100	7	1	0	0	0	2020-11-19	0
81836	15	100	9	3	0	1	0	2021-02-06	0
81963	5	120	9	1	1	2	1	2021-01-22	1
82150	33	370	5	2	0	0	1	2021-02-04	0
82262	13	100	9	3	1	3	1	2021-04-11	1
82419	6	230	5	1	0	3	1	2020-10-29	1
82546	6	250	5	1	0	2	1	2020-12-01	0
82601	37	160	2	2	0	0	0	2021-04-04	1
83055	29	100	9	2	1	3	1	2021-05-09	0
83289	3	100	2	2	0	1	0	2021-03-14	0
83429	37	230	2	2	0	0	1	2020-11-27	0
83491	27	290	6	2	0	2	0	2020-10-26	1
83499	9	120	5	1	0	2	1	2021-01-21	1
83579	17	330	3	2	1	2	0	2021-02-18	1
83681	19	150	5	2	0	1	1	2020-10-10	0
83825	30	150	3	2	1	0	0	2020-11-02	0
83965	6	300	5	1	0	2	0	2021-03-04	0
84085	22	180	5	3	1	1	0	2020-12-27	1
84735	1	160	1	1	1	3	0	2020-11-21	1
84905	8	240	9	3	0	3	1	2021-05-06	0
84906	5	350	9	1	0	1	0	2020-11-07	1
84999	3	100	2	2	0	1	0	2020-12-20	1
85219	1	170	1	1	1	1	1	2020-11-17	0
85748	39	100	1	1	1	2	1	2020-10-28	0
86114	41	100	7	1	1	1	1	2020-12-17	0
86348	5	190	9	1	1	2	0	2021-01-21	1
86352	34	160	3	2	0	2	0	2021-01-16	0
86377	35	270	7	3	1	3	1	2020-10-31	1
86418	18	250	8	2	0	0	1	2020-10-06	0
86419	32	140	10	2	0	3	0	2021-01-27	0
86556	4	300	2	2	1	2	1	2020-11-10	1
86594	28	260	3	1	0	1	0	2020-11-07	0
86648	20	400	8	3	1	2	1	2021-02-10	0
86950	17	110	3	2	0	3	0	2021-01-06	1
87051	31	140	9	1	1	2	1	2020-12-19	0
87084	2	220	1	1	1	2	0	2020-12-07	0
87396	21	170	5	2	0	2	1	2020-11-09	0
87567	37	140	2	2	0	3	1	2020-10-22	1
87646	7	220	10	1	0	2	1	2020-10-23	0
87653	22	250	5	3	1	1	0	2020-12-07	0
87685	42	370	3	1	0	3	1	2021-01-13	0
87765	2	170	1	1	1	2	1	2020-10-19	0
87819	41	100	7	1	1	2	1	2021-02-27	0
87826	27	420	6	2	0	3	0	2020-10-16	0
87937	4	190	2	2	0	1	0	2021-03-05	1
87941	11	140	7	3	1	1	0	2021-01-31	0
87986	31	140	9	1	0	2	0	2020-12-29	1
88013	3	100	2	2	1	3	1	2021-01-07	1
88217	2	130	1	1	0	3	0	2021-01-22	0
88295	11	130	7	3	1	2	1	2020-12-27	0
88517	38	200	7	3	0	0	1	2020-09-23	1
88619	40	180	4	3	1	2	0	2020-12-21	0
88620	12	140	8	3	0	1	0	2021-03-23	1
88814	30	150	3	2	0	3	1	2020-12-20	1
88919	23	100	6	1	0	3	0	2020-10-07	0
89132	38	440	7	3	1	1	0	2021-01-26	0
89233	40	130	4	3	1	0	0	2021-02-24	1
89252	32	160	10	2	0	3	0	2020-11-07	0
89369	40	300	4	3	0	2	1	2020-12-22	1
89375	20	180	8	3	0	3	0	2021-05-11	1
89688	25	240	5	1	0	2	0	2020-11-07	0
89713	7	170	10	1	0	0	0	2021-02-11	0
89818	5	140	9	1	1	2	1	2021-01-31	0
90033	14	150	1	3	1	3	0	2020-09-07	0
90148	3	100	2	2	1	1	0	2021-04-19	1
90197	30	200	3	2	0	1	1	2021-01-21	0
90198	30	180	3	2	0	3	1	2021-05-12	0
90271	36	300	1	1	1	2	0	2020-10-14	0
90316	31	120	9	1	1	3	1	2021-02-13	1
90334	32	130	10	2	1	3	0	2020-10-25	1
90430	38	210	7	3	0	1	1	2020-11-05	0
90693	39	100	1	1	1	2	0	2021-03-18	0
90694	3	100	2	2	0	3	1	2020-10-28	1
90724	22	220	5	3	0	2	1	2021-04-05	0
91043	22	100	5	3	1	1	0	2021-01-12	0
91236	29	120	9	2	0	3	0	2021-05-01	1
91283	42	310	3	1	0	3	0	2021-04-18	1
91421	36	280	1	1	1	3	0	2021-02-27	0
91582	28	120	3	1	1	3	1	2020-10-09	1
91637	11	140	7	3	0	1	0	2020-11-09	1
91836	11	100	7	3	1	0	0	2020-11-18	0
92080	29	100	9	2	0	2	0	2021-02-07	0
92208	36	450	1	1	0	0	0	2020-12-01	1
92425	29	110	9	2	1	0	0	2021-01-17	1
92571	23	140	6	1	1	0	0	2021-01-07	0
92741	29	140	9	2	1	3	0	2021-02-17	1
93066	39	100	1	1	0	1	1	2021-01-26	1
93091	13	100	9	3	1	0	1	2021-01-11	1
93102	24	170	9	3	1	3	1	2020-11-03	1
93221	2	120	1	1	1	2	0	2020-12-17	1
93264	21	150	5	2	0	2	0	2020-10-22	1
93287	6	140	5	1	0	3	0	2020-11-28	1
93877	18	180	8	2	0	2	0	2021-04-01	1
94009	24	210	9	3	0	0	1	2021-02-04	1
94056	31	150	9	1	0	3	0	2021-01-26	0
94109	31	120	9	1	1	1	0	2021-02-18	1
94153	36	410	1	1	1	1	0	2021-05-06	1
94203	13	100	9	3	1	2	0	2021-02-09	0
94577	3	100	2	2	1	1	0	2020-09-16	1
94720	5	120	9	1	0	3	0	2021-05-08	0
94753	37	100	2	2	1	0	1	2021-02-12	1
95062	42	160	3	1	1	0	0	2021-02-24	0
95614	39	100	1	1	0	0	1	2020-11-21	0
95634	35	180	7	3	1	1	0	2021-04-27	0
95697	33	350	5	2	1	0	1	2021-02-06	1
95848	38	260	7	3	1	0	0	2021-03-23	1
95947	15	260	9	3	1	0	1	2021-04-12	1
95992	24	160	9	3	0	0	0	2021-01-14	0
96059	9	100	5	1	1	2	1	2020-10-05	1
96179	10	100	9	1	1	0	0	2021-01-11	1
96229	13	100	9	3	0	2	1	2021-04-17	0
96442	15	200	9	3	0	2	0	2021-01-25	1
96450	31	120	9	1	1	3	1	2021-03-02	0
96491	41	100	7	1	0	3	1	2021-01-20	0
96523	32	290	10	2	1	3	1	2020-12-09	1
96865	8	130	9	3	1	3	0	2021-01-23	0
97058	10	100	9	1	1	0	1	2021-01-09	1
97159	34	200	3	2	1	1	1	2020-12-16	0
97347	3	100	2	2	0	1	1	2021-03-11	0
97374	20	310	8	3	1	2	1	2021-02-18	1
97456	12	290	8	3	1	3	1	2020-10-12	0
97876	6	140	5	1	0	2	1	2021-03-06	1
98094	36	140	1	1	0	2	0	2021-04-07	1
98135	16	200	5	2	0	0	0	2020-11-02	1
98208	14	100	1	3	1	0	0	2021-04-20	0
98364	40	140	4	3	0	0	0	2020-10-13	0
98410	32	210	10	2	1	3	0	2021-01-01	1
98486	12	290	8	3	0	0	1	2021-04-22	1
98550	18	300	8	2	0	1	0	2020-11-12	0
98619	26	270	2	3	0	3	1	2020-10-31	1
98781	12	290	8	3	1	3	1	2021-03-18	0
98981	19	160	5	2	0	0	0	2020-10-21	0
99108	37	150	2	2	0	0	0	2020-11-06	1
99187	8	150	9	3	1	0	1	2021-04-07	0
99561	14	180	1	3	0	2	1	2020-12-14	0
99636	7	190	10	1	1	0	1	2020-12-02	1
99659	30	300	3	2	0	1	1	2021-04-03	1
99707	19	170	5	2	0	2	0	2021-03-07	1
99786	39	100	1	1	1	3	1	2020-11-30	0
99814	15	270	9	3	0	2	1	2020-10-18	0
99908	9	130	5	1	0	3	0	2021-03-30	0
99936	28	170	3	1	1	0	0	2021-01-31	1
